acquisition_seed,strategy,round,dataset_type,image_name,sample_id,rank_in_selection,min_cosine_distance_to_labeled_before_selection,num_reference_labeled_before_selection
43,GTFreeRandom,2,NEU-DET,inclusion_197.jpg,3a65c774b0c01269b0cf2ae26bf91d47fede4afcb1dd1eb8fe41e76f615ad39d,3,0.18051362037658691,20
43,GTFreeRandom,2,GC10-DET,img_07_4405376700_00809.jpg,5755975903f09526605d14f4dc24d84c40bc85b86d2649abbdd6f6db9ad54cf2,4,0.12626683712005615,20
43,GTFreeRandom,2,GC10-DET,img_02_4406430100_00002.jpg,ae4235c5964cf7dd84ba696a747f0832889e0dd49e10df8a8707a3eb6327af5a,5,0.16943740844726562,20
43,GTFreeRandom,3,GC10-DET,img_08_427199900_01134.jpg,3328cc628d137c3c94430d077cb0c83d92c352ee16bd6982c87e2a32f99b6f36,1,0.43001747131347656,25
43,GTFreeRandom,3,NEU-DET,rolled-in_scale_30.jpg,5a326959ac310d162cf9d519783fb2bc3c8585a20c72c16e36a39117685131b2,2,0.36136889457702637,25
43,GTFreeRandom,3,NEU-DET,pitted_surface_162.jpg,b51e0ee043a80bf729f3481c61c2720badffaa7233bc9d032b52246a5909982a,3,0.3318871855735779,25
43,GTFreeRandom,3,NEU-DET,scratches_231.jpg,cb06ce5c325eedc80249bd05b87209a9f36c1960600e7bd61998321d1f4df874,4,0.347353458404541,25
43,GTFreeRandom,3,GC10-DET,img_03_4402270500_00004.jpg,ddfa49f53ed06d2fd950eb09aea35b765ebd1c6d297e4e0c8f9e64602189c1b5,5,0.15212523937225342,25
43,GTFreeRandom,4,NEU-DET,rolled-in_scale_211.jpg,15700602a5b8d0a3c59b92b37ab6c378e8c192d164b2b2b0f36727360d2eb742,1,0.17435979843139648,30
43,GTFreeRandom,4,GC10-DET,img_03_4405964900_00010.jpg,1c40351a706505f7f06299eb831ef84d85e1840fc0db34345ca0bb822a4b825e,2,0.18328291177749634,30
43,GTFreeRandom,4,GC10-DET,img_01_429539000_00002.jpg,8316be5794bcc4d5765f035b54262b1b21fd15b82f240a4512e9710d112c8748,3,0.19670766592025757,30
43,GTFreeRandom,4,NEU-DET,rolled-in_scale_239.jpg,8e311a7b62d3ea8defe3a13129f6d1e903612173eb37216769c03ce8532d3722,4,0.2714318037033081,30
43,GTFreeRandom,4,GC10-DET,img_04_4402766700_00007.jpg,e298d10b8ccaacace08f1b05989005d970d13de3e8a57f2bd77a08661b68faf8,5,0.32576578855514526,30
44,GTFreeDatasetBalancedConsistency,1,NEU-DET,rolled-in_scale_24.jpg,02f3b5570a576ced7184f753619c8bb543be7b96aa48c3711388f2c5ee0470de,1,0.41563427448272705,15
44,GTFreeDatasetBalancedConsistency,1,NEU-DET,scratches_11.jpg,25ba78a47385e69a7b6bf5a04f143c9ea90594c8c7a2bb3562b2fd4525dafa6d,2,0.36216163635253906,15
44,GTFreeDatasetBalancedConsistency,1,NEU-DET,patches_22.jpg,39af694678f7c24b0c741ea09983c646bc24e7944d60286d34518fd19202e649,3,0.46131187677383423,15
44,GTFreeDatasetBalancedConsistency,1,NEU-DET,pitted_surface_189.jpg,9b357a5a3249eb7af16bbf8cae7f7f75bab8303b44b920c744ce416860939bc8,4,0.2448289394378662,15
44,GTFreeDatasetBalancedConsistency,1,NEU-DET,pitted_surface_162.jpg,b51e0ee043a80bf729f3481c61c2720badffaa7233bc9d032b52246a5909982a,5,0.36254239082336426,15
44,GTFreeDatasetBalancedConsistency,2,GC10-DET,img_07_4405381400_00773.jpg,4a4b401c43dc80320554bdeb7644c970fdb9e5eb74f6ae9da2a4114b9287956c,1,0.16545873880386353,20
44,GTFreeDatasetBalancedConsistency,2,GC10-DET,img_07_4405376700_00809.jpg,5755975903f09526605d14f4dc24d84c40bc85b86d2649abbdd6f6db9ad54cf2,2,0.1273496150970459,20
44,GTFreeDatasetBalancedConsistency,2,NEU-DET,scratches_147.jpg,9bc9d64d72c17cc718188ca1622d66f97c064228bbc7f868eae03ca779904a94,3,0.29843592643737793,20
